H,T,d,merge_n,lower_mac_count,query_tokens,batch_size,bandwidth_bpc,freq_ghz,mode,array_rows,array_cols,pipeline_cycles,pipeline_latency_cyc,pipeline_depth_steps,throughput_cyc_per_tok,column_dwell_cyc,packet_stagger_cyc,upper_pe_util_pct,total_dram_bytes,total_dram_mb,memory_cycles,bound_cycles,bottleneck,cyc_per_sequence,latency_us,crossover_bw_bpc,crossover_bw_gbs,kv_roofline_cyc,baseline_roofline_cyc,roofline_speedup,k_buffer_mb,k_buf_per_pe_bytes,sync_buffer_kb,dot_product_macs,value_macs,total_macs
64,128,128,0,1,1,1,512,1.0,decode,64,128,25785,25785,191,135,135,128,5.47,98304,0.098,192,25785,compute,25785.0,25.785,3.8,3.8,384,512,1.3333,2.097,256,0.0,1048576,3145728,4194304
64,128,128,3,16,1,1,512,1.0,decode,512,16,71145,71145,527,135,135,128,5.47,98304,0.098,192,71145,compute,71145.0,71.145,1.4,1.4,192,512,2.6667,2.097,256,0.0,1048576,3145728,4194304
64,512,128,0,1,1,1,512,1.0,decode,64,512,77625,77625,575,135,135,128,5.47,294912,0.295,576,77625,compute,77625.0,77.625,3.8,3.8,1536,2048,1.3333,8.389,256,0.0,4194304,12582912,16777216
64,512,128,3,16,1,1,512,1.0,decode,512,64,77625,77625,575,135,135,128,5.47,294912,0.295,576,77625,compute,77625.0,77.625,3.8,3.8,576,2048,3.5556,8.389,256,0.0,4194304,12582912,16777216
64,1024,128,0,1,1,1,512,1.0,decode,64,1024,146745,146745,1087,135,135,128,5.47,557056,0.557,1088,146745,compute,146745.0,146.745,3.8,3.8,3072,4096,1.3333,16.777,256,0.0,8388608,25165824,33554432
64,1024,128,3,16,1,1,512,1.0,decode,512,128,86265,86265,639,135,135,128,5.47,557056,0.557,1088,86265,compute,86265.0,86.265,6.5,6.5,1088,4096,3.7647,16.777,256,0.0,8388608,25165824,33554432
64,2048,128,0,1,1,1,512,1.0,decode,64,2048,284985,284985,2111,135,135,128,5.47,1081344,1.081,2112,284985,compute,284985.0,284.985,3.8,3.8,6144,8192,1.3333,33.554,256,0.0,16777216,50331648,67108864
64,2048,128,3,16,1,1,512,1.0,decode,512,256,103545,103545,767,135,135,128,5.47,1081344,1.081,2112,103545,compute,103545.0,103.545,10.4,10.4,2112,8192,3.8788,33.554,256,0.0,16777216,50331648,67108864
64,4096,128,0,1,1,1,512,1.0,decode,64,4096,561465,561465,4159,135,135,128,5.47,2129920,2.13,4160,561465,compute,561465.0,561.465,3.8,3.8,12288,16384,1.3333,67.109,256,0.0,33554432,100663296,134217728
64,4096,128,3,16,1,1,512,1.0,decode,512,512,138105,138105,1023,135,135,128,5.47,2129920,2.13,4160,138105,compute,138105.0,138.105,15.4,15.4,4160,16384,3.9385,67.109,256,0.0,33554432,100663296,134217728
64,8192,128,0,1,1,1,512,1.0,decode,64,8192,1114425,1114425,8255,135,135,128,5.47,4227072,4.227,8256,1114425,compute,1114425.0,1114.425,3.8,3.8,24576,32768,1.3333,134.218,256,0.0,67108864,201326592,268435456
64,8192,128,3,16,1,1,512,1.0,decode,512,1024,207225,207225,1535,135,135,128,5.47,4227072,4.227,8256,207225,compute,207225.0,207.225,20.4,20.4,8256,32768,3.969,134.218,256,0.0,67108864,201326592,268435456
64,128,128,0,1,128,1,512,1.0,prefill,64,128,42041,25785,191,128,135,128,5.47,4259840,4.26,8320,42041,compute,42041.0,42.041,101.3,101.3,49152,65536,1.3333,2.097,256,0.0,134217728,402653184,536870912
64,128,128,0,16,128,1,512,1.0,prefill,64,128,26801,25785,191,8,135,8,87.5,4259840,4.26,8320,26801,compute,26801.0,26.801,158.9,158.9,49152,65536,1.3333,2.097,256,0.0,134217728,402653184,536870912
64,128,128,3,16,128,1,512,1.0,prefill,512,16,72161,71145,527,8,135,8,87.5,4259840,4.26,8320,72161,compute,72161.0,72.161,59.0,59.0,8320,65536,7.8769,2.097,256,0.0,134217728,402653184,536870912
64,512,128,0,1,512,1,512,1.0,prefill,64,512,143033,77625,575,128,135,128,5.47,17039360,17.039,33280,143033,compute,143033.0,143.033,119.1,119.1,786432,1048576,1.3333,8.389,256,0.0,2147483648,6442450944,8589934592
