array_shape,baseline_dram_reads,baseline_dram_writes,baseline_memory_stall_cycles,baseline_over_kv_cycle_ratio,baseline_stage_names,baseline_total_cycles,baseline_total_dram,baseline_total_sram,baseline_weighted_pe_utilization,batch_size,decode_tokens,dram_read_ratio_baseline_over_kv,dram_write_ratio_baseline_over_kv,experiment_id,head_dim,kv_dram_reads,kv_dram_writes,kv_heads,kv_memory_stall_cycles,kv_over_baseline_cycle_ratio,kv_preload_bandwidth_cycles,kv_stage_names,kv_total_cycles,kv_total_dram,kv_total_sram,kv_weighted_pe_utilization,memory_stall_cycles_delta_kv_minus_baseline,precision,query_heads,sequence_length,sram_ratio_baseline_over_kv,total_dram_ratio_baseline_over_kv,weighted_pe_utilization_delta_kv_minus_baseline
8x8,10240.0,1536.0,0.0,0.07828687642062447,score_gemm|softmax_reduce|value_gemm|writeback,3272.0,11776.0,11776.0,0.45232273838630804,1,1,0.6060606060606061,3.0,1,64,16896.0,512.0,2,0.0,12.773533007334963,2048.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,41795.0,17408.0,102912.0,0.9994975475535351,0.0,int8,8,64,0.11442786069651742,0.6764705882352942,0.547174809167227
8x8,19456.0,2560.0,0.0,0.07849676756691439,score_gemm|softmax_reduce|value_gemm|writeback,6496.0,22016.0,22016.0,0.4482758620689655,1,1,0.5846153846153846,5.0,10,64,33280.0,512.0,2,0.0,12.739378078817735,4096.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,82755.0,33792.0,203264.0,0.9997462388979518,0.0,int8,8,128,0.10831234256926953,0.6515151515151515,0.5514703768289863
16x16,19456.0,2560.0,0.0,0.06483166796676695,score_gemm|softmax_reduce|value_gemm|writeback,5236.0,22016.0,22016.0,0.13330786860198626,1,1,0.5846153846153846,5.0,11,64,33280.0,512.0,2,0.0,15.424560733384263,4096.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,80763.0,33792.0,203264.0,0.5126047818926984,0.0,int8,8,128,0.10831234256926953,0.6515151515151515,0.37929691329071213
32x32,19456.0,2560.0,0.0,0.058204829975362374,score_gemm|softmax_reduce|value_gemm|writeback,4654.0,22016.0,22016.0,0.036850021486892995,1,1,0.5846153846153846,5.0,12,64,33280.0,512.0,2,0.0,17.180704770090244,4096.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,79959.0,33792.0,203264.0,0.25959671519153565,0.0,int8,8,128,0.10831234256926953,0.6515151515151515,0.22274669370464267
8x8,28672.0,10240.0,0.0,0.0815253370481578,score_gemm|softmax_reduce|value_gemm|writeback,25984.0,38912.0,38912.0,0.4482758620689655,1,4,0.8235294117647058,5.0,13,64,34816.0,2048.0,2,0.0,12.266125307881774,4096.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,318723.0,36864.0,616448.0,0.9997364482638529,0.0,int8,8,128,0.06312292358803986,1.0555555555555556,0.5514605861948874
16x16,28672.0,10240.0,0.0,0.058949202071426995,score_gemm|softmax_reduce|value_gemm|writeback,18680.0,38912.0,38912.0,0.1777301927194861,1,4,0.8235294117647058,5.0,14,64,34816.0,2048.0,2,0.0,16.963758029978585,4096.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,316883.0,36864.0,616448.0,0.9998579917508986,0.0,int8,8,128,0.06312292358803986,1.0555555555555556,0.8221277990314125
32x32,28672.0,10240.0,0.0,0.05356393037888762,score_gemm|softmax_reduce|value_gemm|writeback,16966.0,38912.0,38912.0,0.06448190498644348,1,4,0.8235294117647058,5.0,15,64,34816.0,2048.0,2,0.0,18.669279735942474,4096.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,316743.0,36864.0,616448.0,0.9998898949621617,0.0,int8,8,128,0.06312292358803986,1.0555555555555556,0.9354079899757183
8x8,40960.0,20480.0,0.0,0.08205296622546566,score_gemm|softmax_reduce|value_gemm|writeback,51968.0,61440.0,61440.0,0.4482758620689655,1,8,1.1111111111111112,5.0,16,64,36864.0,4096.0,2,0.0,12.187249846059114,4096.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,633347.0,40960.0,1167360.0,0.9997347425660814,0.0,int8,8,128,0.05263157894736842,1.5,0.5514588804971159
16x16,40960.0,20480.0,0.0,0.059140593463824664,score_gemm|softmax_reduce|value_gemm|writeback,37360.0,61440.0,61440.0,0.1777301927194861,1,8,1.1111111111111112,5.0,17,64,36864.0,4096.0,2,0.0,16.908859743040686,4096.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,631715.0,40960.0,1167360.0,0.9998575306902638,0.0,int8,8,128,0.05263157894736842,1.5,0.8221273379707777
32x32,40960.0,20480.0,0.0,0.05365090859644657,score_gemm|softmax_reduce|value_gemm|writeback,33932.0,61440.0,61440.0,0.06448190498644348,1,8,1.1111111111111112,5.0,18,64,36864.0,4096.0,2,0.0,18.639013320759165,4096.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,632459.0,40960.0,1167360.0,0.9998897161713249,0.0,int8,8,128,0.05263157894736842,1.5,0.9354078111848815
