amortized_preload_bytes_per_token,array_cols,array_rows,array_shape,batch_size,decode_step,decode_tokens,dram_reads,dram_writes,exp_variant,experiment_id,head_dim,kv_heads,kv_preload_bandwidth_cycles,kv_preload_bytes,kv_resident_bytes,memory_model_applied,memory_stall_cycles,mode,onchip_storage_bytes,pe_utilization,pipeline_depth,precision,query_heads,reuse_kv_across_tokens,sequence_length,softmax_variant,sram_reads,sram_writes,stage_count,stage_final_normalize_cycles,stage_kv_preload_cycles,stage_names,stage_online_softmax_accum_cycles,stage_query_stream_cycles,stage_score_gemm_cycles,stage_softmax_reduce_cycles,stage_value_gemm_cycles,stage_writeback_cycles,stream_groups,total_cycles,total_macs,total_stall_cycles,weighted_pe_utilization
0.0,8,8,8x8,1,4,1,10240,1536,lookup,1,64,2,0,0,0,True,0,baseline_mqa_decode,98304,0.78125,0,int8,8,True,64,online,10752,1024,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,600,2048,600,24,0,3272,65536,0,0.45232273838630804
16384.0,8,8,8x8,1,4,1,16896,512,lookup,1,64,2,2048,16384,16384,True,0,kv_stationary_mqa_decode,98304,0.825,16,int8,8,True,64,online,51712,51200,5,648,2051,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,34816,4256,,,,24,8,41795,65536,8,0.9994975475535351
0.0,16,16,16x16,1,4,1,10240,1536,lookup,2,64,2,0,0,0,True,0,baseline_mqa_decode,196608,0.3828125,0,int8,8,True,64,online,10752,1024,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,284,2048,284,16,0,2632,65536,0,0.135258358662614
16384.0,16,16,16x16,1,4,1,16896,512,lookup,2,64,2,2048,16384,16384,True,0,kv_stationary_mqa_decode,196608,0.50625,20,int8,8,True,64,online,51712,51200,5,680,1027,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,34816,4288,,,,16,8,40827,65536,8,0.5123937590320131
0.0,32,32,32x32,1,4,1,10240,1536,lookup,3,64,2,0,0,0,True,0,baseline_mqa_decode,393216,0.189453125,0,int8,8,True,64,online,10752,1024,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,138,2048,138,12,0,2336,65536,0,0.03767123287671233
16384.0,32,32,32x32,1,4,1,16896,512,lookup,3,64,2,2048,16384,16384,True,0,kv_stationary_mqa_decode,393216,0.3515625,34,int8,8,True,64,online,51712,51200,5,792,515,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,34816,4400,,,,12,8,40535,65536,8,0.2594571049710127
0.0,8,8,8x8,1,4,4,16384,6144,lookup,4,64,2,0,0,0,True,0,baseline_mqa_decode,98304,0.78125,0,int8,8,True,64,online,18432,4096,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,2400,8192,2400,96,0,13088,262144,0,0.45232273838630804
4096.0,8,8,8x8,1,4,4,18432,2048,lookup,4,64,2,2048,16384,16384,True,0,kv_stationary_mqa_decode,98304,0.825,16,int8,8,True,64,online,157696,155648,5,2592,2051,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,139264,17024,,,,96,32,161027,262144,32,0.9994783483515187
0.0,16,16,16x16,1,4,4,16384,6144,lookup,5,64,2,0,0,0,True,0,baseline_mqa_decode,196608,0.765625,0,int8,8,True,64,online,18432,4096,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,568,8192,568,48,0,9376,262144,0,0.18088737201365188
4096.0,16,16,16x16,1,4,4,18432,2048,lookup,5,64,2,2048,16384,16384,True,0,kv_stationary_mqa_decode,196608,0.8125,20,int8,8,True,64,online,157696,155648,5,2720,1027,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,139264,17152,,,,48,32,160211,262144,32,0.9997191204099594
0.0,32,32,32x32,1,4,4,16384,6144,lookup,6,64,2,0,0,0,True,0,baseline_mqa_decode,393216,0.7578125,0,int8,8,True,64,online,18432,4096,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,138,8192,138,36,0,8504,262144,0,0.06679209783631232
4096.0,32,32,32x32,1,4,4,18432,2048,lookup,6,64,2,2048,16384,16384,True,0,kv_stationary_mqa_decode,393216,0.80625,34,int8,8,True,64,online,157696,155648,5,3168,515,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,139264,17600,,,,36,32,160583,262144,32,0.999782822590187
0.0,8,8,8x8,1,4,8,24576,12288,lookup,7,64,2,0,0,0,True,0,baseline_mqa_decode,98304,0.78125,0,int8,8,True,64,online,28672,8192,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,4800,16384,4800,192,0,26176,524288,0,0.45232273838630804
2048.0,8,8,8x8,1,4,8,20480,4096,lookup,7,64,2,2048,16384,16384,True,0,kv_stationary_mqa_decode,98304,0.825,16,int8,8,True,64,online,299008,294912,5,5184,2051,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,278528,34048,,,,192,64,320003,524288,64,0.9994750049218288
0.0,16,16,16x16,1,4,8,24576,12288,lookup,8,64,2,0,0,0,True,0,baseline_mqa_decode,196608,0.765625,0,int8,8,True,64,online,28672,8192,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,1136,16384,1136,96,0,18752,524288,0,0.18088737201365188
2048.0,16,16,16x16,1,4,8,20480,4096,lookup,8,64,2,2048,16384,16384,True,0,kv_stationary_mqa_decode,196608,0.8125,20,int8,8,True,64,online,299008,294912,5,5440,1027,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,278528,34304,,,,96,64,319395,524288,64,0.9997182172544968
0.0,32,32,32x32,1,4,8,24576,12288,lookup,9,64,2,0,0,0,True,0,baseline_mqa_decode,393216,0.7578125,0,int8,8,True,64,online,28672,8192,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,276,16384,276,72,0,17008,524288,0,0.06679209783631232
2048.0,32,32,32x32,1,4,8,20480,4096,lookup,9,64,2,2048,16384,16384,True,0,kv_stationary_mqa_decode,393216,0.80625,34,int8,8,True,64,online,299008,294912,5,6336,515,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,278528,35200,,,,72,64,320651,524288,64,0.999782473779904
0.0,8,8,8x8,1,4,1,19456,2560,lookup,10,64,2,0,0,0,True,0,baseline_mqa_decode,98304,0.78125,0,int8,8,True,128,online,19968,2048,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,1200,4096,1176,24,0,6496,131072,0,0.4482758620689655
32768.0,8,8,8x8,1,4,1,33280,512,lookup,10,64,2,4096,32768,32768,True,0,kv_stationary_mqa_decode,98304,0.825,16,int8,8,True,128,online,101888,101376,5,648,4099,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,69632,8352,,,,24,8,82755,131072,8,0.9997462388979518
0.0,16,16,16x16,1,4,1,19456,2560,lookup,11,64,2,0,0,0,True,0,baseline_mqa_decode,196608,0.3828125,0,int8,8,True,128,online,19968,2048,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,568,4096,556,16,0,5236,131072,0,0.13330786860198626
32768.0,16,16,16x16,1,4,1,33280,512,lookup,11,64,2,4096,32768,32768,True,0,kv_stationary_mqa_decode,196608,0.50625,20,int8,8,True,128,online,101888,101376,5,680,2051,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,69632,8384,,,,16,8,80763,131072,8,0.5126047818926984
0.0,32,32,32x32,1,4,1,19456,2560,lookup,12,64,2,0,0,0,True,0,baseline_mqa_decode,393216,0.189453125,0,int8,8,True,128,online,19968,2048,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,276,4096,270,12,0,4654,131072,0,0.036850021486892995
32768.0,32,32,32x32,1,4,1,33280,512,lookup,12,64,2,4096,32768,32768,True,0,kv_stationary_mqa_decode,393216,0.3515625,34,int8,8,True,128,online,101888,101376,5,792,1027,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,69632,8496,,,,12,8,79959,131072,8,0.25959671519153565
0.0,8,8,8x8,1,4,4,28672,10240,lookup,13,64,2,0,0,0,True,0,baseline_mqa_decode,98304,0.78125,0,int8,8,True,128,online,30720,8192,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,4800,16384,4704,96,0,25984,524288,0,0.4482758620689655
8192.0,8,8,8x8,1,4,4,34816,2048,lookup,13,64,2,4096,32768,32768,True,0,kv_stationary_mqa_decode,98304,0.825,16,int8,8,True,128,online,309248,307200,5,2592,4099,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,278528,33408,,,,96,32,318723,524288,32,0.9997364482638529
0.0,16,16,16x16,1,4,4,28672,10240,lookup,14,64,2,0,0,0,True,0,baseline_mqa_decode,196608,0.765625,0,int8,8,True,128,online,30720,8192,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,1136,16384,1112,48,0,18680,524288,0,0.1777301927194861
8192.0,16,16,16x16,1,4,4,34816,2048,lookup,14,64,2,4096,32768,32768,True,0,kv_stationary_mqa_decode,196608,0.8125,20,int8,8,True,128,online,309248,307200,5,2720,2051,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,278528,33536,,,,48,32,316883,524288,32,0.9998579917508986
0.0,32,32,32x32,1,4,4,28672,10240,lookup,15,64,2,0,0,0,True,0,baseline_mqa_decode,393216,0.7578125,0,int8,8,True,128,online,30720,8192,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,276,16384,270,36,0,16966,524288,0,0.06448190498644348
8192.0,32,32,32x32,1,4,4,34816,2048,lookup,15,64,2,4096,32768,32768,True,0,kv_stationary_mqa_decode,393216,0.80625,34,int8,8,True,128,online,309248,307200,5,3168,1027,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,278528,33984,,,,36,32,316743,524288,32,0.9998898949621617
0.0,8,8,8x8,1,4,8,40960,20480,lookup,16,64,2,0,0,0,True,0,baseline_mqa_decode,98304,0.78125,0,int8,8,True,128,online,45056,16384,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,9600,32768,9408,192,0,51968,1048576,0,0.4482758620689655
4096.0,8,8,8x8,1,4,8,36864,4096,lookup,16,64,2,4096,32768,32768,True,0,kv_stationary_mqa_decode,98304,0.825,16,int8,8,True,128,online,585728,581632,5,5184,4099,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,557056,66816,,,,192,64,633347,1048576,64,0.9997347425660814
0.0,16,16,16x16,1,4,8,40960,20480,lookup,17,64,2,0,0,0,True,0,baseline_mqa_decode,196608,0.765625,0,int8,8,True,128,online,45056,16384,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,2272,32768,2224,96,0,37360,1048576,0,0.1777301927194861
4096.0,16,16,16x16,1,4,8,36864,4096,lookup,17,64,2,4096,32768,32768,True,0,kv_stationary_mqa_decode,196608,0.8125,20,int8,8,True,128,online,585728,581632,5,5440,2051,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,557056,67072,,,,96,64,631715,1048576,64,0.9998575306902638
0.0,32,32,32x32,1,4,8,40960,20480,lookup,18,64,2,0,0,0,True,0,baseline_mqa_decode,393216,0.7578125,0,int8,8,True,128,online,45056,16384,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,552,32768,540,72,0,33932,1048576,0,0.06448190498644348
4096.0,32,32,32x32,1,4,8,36864,4096,lookup,18,64,2,4096,32768,32768,True,0,kv_stationary_mqa_decode,393216,0.80625,34,int8,8,True,128,online,585728,581632,5,6336,1027,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,557056,67968,,,,72,64,632459,1048576,64,0.9998897161713249
0.0,8,8,8x8,1,4,1,74752,8704,lookup,19,64,2,0,0,0,True,0,baseline_mqa_decode,98304,0.78125,0,int8,8,True,512,online,75264,8192,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,4800,16384,4632,24,0,25840,524288,0,0.4452012383900929
131072.0,8,8,8x8,1,4,1,131584,512,lookup,19,64,2,16384,131072,131072,True,0,kv_stationary_mqa_decode,98304,0.825,16,int8,8,True,512,online,402944,402432,5,648,16387,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,278528,32928,,,,24,8,328515,524288,8,0.9999360759782658
0.0,16,16,16x16,1,4,1,74752,8704,lookup,20,64,2,0,0,0,True,0,baseline_mqa_decode,196608,0.3828125,0,int8,8,True,512,online,75264,8192,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,2272,16384,2188,16,0,20860,524288,0,0.1318312559923298
131072.0,16,16,16x16,1,4,1,131584,512,lookup,20,64,2,16384,131072,131072,True,0,kv_stationary_mqa_decode,196608,0.50625,20,int8,8,True,512,online,402944,402432,5,680,8195,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,278528,32960,,,,16,8,320379,524288,8,0.5127661301146454
0.0,32,32,32x32,1,4,1,74752,8704,lookup,21,64,2,0,0,0,True,0,baseline_mqa_decode,393216,0.189453125,0,int8,8,True,512,online,75264,8192,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,1104,16384,1062,12,0,18562,524288,0,0.03622993211938369
131072.0,32,32,32x32,1,4,1,131584,512,lookup,21,64,2,16384,131072,131072,True,0,kv_stationary_mqa_decode,393216,0.3515625,34,int8,8,True,512,online,402944,402432,5,792,4099,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,278528,33072,,,,12,8,316503,524288,8,0.25970399569672326
0.0,8,8,8x8,1,4,4,102400,34816,lookup,22,64,2,0,0,0,True,0,baseline_mqa_decode,98304,0.78125,0,int8,8,True,512,online,104448,32768,4,,,score_gemm|softmax_reduce|value_gemm|writeback,,,19200,65536,18528,96,0,103360,2097152,0,0.4452012383900929
