T,merge_n,lmc,flash_cycles,kv_cycles,speedup_kv_over_flash,flash_dram_mb,kv_dram_mb,dram_ratio_flash_over_kv,flash_pes,kv_pes,pe_area_ratio_kv_over_flash,area_norm_speedup,kv_ss_corrected,kv_mac_frac_ss
128,0,1,68568,42548,1.612,4.26,4.26,1.0,4096,8192,2.0,0.806,True,0.402
128,0,16,68568,27308,2.511,4.26,4.26,1.0,4096,8192,2.0,1.255,True,0.057
128,3,1,68568,215651,0.318,4.26,4.26,1.0,4096,8192,2.0,0.159,True,0.077
128,3,16,68568,93731,0.732,4.26,4.26,1.0,4096,8192,2.0,0.366,True,0.014
512,0,1,1097088,144308,7.602,17.04,17.04,1.0,4096,32768,8.0,0.95,True,0.467
512,0,16,1097088,82988,13.22,17.04,17.04,1.0,4096,32768,8.0,1.652,True,0.066
512,3,1,1097088,660803,1.66,17.04,17.04,1.0,4096,32768,8.0,0.208,True,0.1
512,3,16,1097088,170243,6.444,17.04,17.04,1.0,4096,32768,8.0,0.806,True,0.026
1024,0,1,4388352,277689,15.803,34.08,34.08,1.0,4096,65536,16.0,0.988,False,
1024,0,16,4388352,157228,27.911,34.08,34.08,1.0,4096,65536,16.0,1.744,True,0.068
1024,3,1,4388352,1254339,3.499,34.08,34.08,1.0,4096,65536,16.0,0.219,True,0.105
1024,3,16,4388352,272259,16.118,34.08,34.08,1.0,4096,65536,16.0,1.007,True,0.032
2048,0,1,17553408,547001,32.09,68.16,68.16,1.0,4096,131072,32.0,1.003,False,
2048,0,16,17553408,305708,57.419,68.16,68.16,1.0,4096,131072,32.0,1.794,True,0.069
2048,3,1,17553408,2441411,7.19,68.16,68.16,1.0,4096,131072,32.0,0.225,True,0.108
2048,3,16,17553408,476291,36.854,68.16,68.16,1.0,4096,131072,32.0,1.152,True,0.036
4096,0,1,70213632,1085625,64.676,136.31,136.31,1.0,4096,262144,64.0,1.011,False,
4096,0,16,70213632,594225,118.16,136.31,136.31,1.0,4096,262144,64.0,1.846,False,
4096,3,1,70213632,4814280,14.584,136.31,136.31,1.0,4096,262144,64.0,0.228,False,
4096,3,16,70213632,884355,79.395,136.31,136.31,1.0,4096,262144,64.0,1.241,True,0.039
8192,0,1,280854528,2162873,129.853,272.63,272.63,1.0,4096,524288,128.0,1.014,False,
8192,0,16,280854528,1179953,238.022,272.63,272.63,1.0,4096,524288,128.0,1.86,False,
8192,3,1,280854528,9561544,29.373,272.63,272.63,1.0,4096,524288,128.0,0.229,False,
8192,3,16,280854528,1700483,165.162,272.63,272.63,1.0,4096,524288,128.0,1.29,True,0.04
