T,merge_n,lmc,arch,array_pes,flash_total_cycles,ss_qk_tile,ss_av_tile,kv_total_analytical,kv_lower_mac_analytic,kv_ss_lower_mac,kv_total_corrected,kv_lower_mac_ss_validated,speedup_kv_over_flash,pe_area_ratio_kv_over_flash,area_norm_speedup,dram_equal,kv_dram_mb,flash_dram_mb,kv_total_macs,kv_pe_utilization,column_dwell,packet_stagger,k_buf_mb,upper_pe_util_pct
128,0,1,kv_stat_n0_lmc1,8192,68568,8571,8571,42041,16384,16891,42548,True,1.612,2.0,0.806,True,4.26,4.26,536870912,0.411,135,128,2.097,5.2
128,0,16,kv_stat_n0_lmc16,8192,68568,8571,8571,26801,1024,1531,27308,True,2.511,2.0,1.255,True,4.26,4.26,536870912,0.6448,135,8,2.097,5.2
128,3,1,kv_stat_n3_lmc1,8192,68568,8571,8571,215368,16384,16667,215651,True,0.318,2.0,0.159,True,4.26,4.26,536870912,0.0802,135,128,2.097,5.2
128,3,16,kv_stat_n3_lmc16,8192,68568,8571,8571,93448,1024,1307,93731,True,0.732,2.0,0.366,True,4.26,4.26,536870912,0.1849,135,8,2.097,5.2
512,0,1,kv_stat_n0_lmc1,32768,1097088,8571,8571,143033,65536,66811,144308,True,7.602,8.0,0.95,True,17.04,17.04,8589934592,0.4832,135,128,8.389,5.2
512,0,16,kv_stat_n0_lmc16,32768,1097088,8571,8571,81713,4096,5371,82988,True,13.22,8.0,1.652,True,17.04,17.04,8589934592,0.8459,135,8,8.389,5.2
512,3,1,kv_stat_n3_lmc1,32768,1097088,8571,8571,660424,65536,65915,660803,True,1.66,8.0,0.208,True,17.04,17.04,8589934592,0.1047,135,128,8.389,5.2
512,3,16,kv_stat_n3_lmc16,32768,1097088,8571,8571,169864,4096,4475,170243,True,6.444,8.0,0.806,True,17.04,17.04,8589934592,0.4069,135,8,8.389,5.2
1024,0,1,kv_stat_n0_lmc1,65536,4388352,8571,8571,277689,131072,,277689,False,15.803,16.0,0.988,True,34.08,34.08,34359738368,0.4978,135,128,16.777,5.2
1024,0,16,kv_stat_n0_lmc16,65536,4388352,8571,8571,154929,8192,10491,157228,True,27.911,16.0,1.744,True,34.08,34.08,34359738368,0.8923,135,8,16.777,5.2
1024,3,1,kv_stat_n3_lmc1,65536,4388352,8571,8571,1253832,131072,131579,1254339,True,3.499,16.0,0.219,True,34.08,34.08,34359738368,0.1103,135,128,16.777,5.2
1024,3,16,kv_stat_n3_lmc16,65536,4388352,8571,8571,271752,8192,8699,272259,True,16.118,16.0,1.007,True,34.08,34.08,34359738368,0.5087,135,8,16.777,5.2
2048,0,1,kv_stat_n0_lmc1,131072,17553408,8571,8571,547001,262144,,547001,False,32.09,32.0,1.003,True,68.16,68.16,137438953472,0.5054,135,128,33.554,5.2
2048,0,16,kv_stat_n0_lmc16,131072,17553408,8571,8571,301361,16384,20731,305708,True,57.419,32.0,1.794,True,68.16,68.16,137438953472,0.9174,135,8,33.554,5.2
2048,3,1,kv_stat_n3_lmc1,131072,17553408,8571,8571,2440648,262144,,2440648,False,7.192,32.0,0.225,True,68.16,68.16,137438953472,0.1133,135,128,33.554,5.2
2048,3,16,kv_stat_n3_lmc16,131072,17553408,8571,8571,475528,16384,17147,476291,True,36.854,32.0,1.152,True,68.16,68.16,137438953472,0.5814,135,8,33.554,5.2
4096,0,1,kv_stat_n0_lmc1,262144,70213632,8571,8571,1085625,524288,,1085625,False,64.676,64.0,1.011,True,136.31,136.31,549755813888,0.5093,135,128,67.109,5.2
4096,0,16,kv_stat_n0_lmc16,262144,70213632,8571,8571,594225,32768,,594225,False,118.16,64.0,1.846,True,136.31,136.31,549755813888,0.9306,135,8,67.109,5.2
4096,3,1,kv_stat_n3_lmc1,262144,70213632,8571,8571,4814280,524288,,4814280,False,14.584,64.0,0.228,True,136.31,136.31,549755813888,0.1149,135,128,67.109,5.2
4096,3,16,kv_stat_n3_lmc16,262144,70213632,8571,8571,883080,32768,34043,884355,True,79.395,64.0,1.241,True,136.31,136.31,549755813888,0.6262,135,8,67.109,5.2
8192,0,1,kv_stat_n0_lmc1,524288,280854528,8571,8571,2162873,1048576,,2162873,False,129.853,128.0,1.014,True,272.63,272.63,2199023255552,0.5113,135,128,134.218,5.2
8192,0,16,kv_stat_n0_lmc16,524288,280854528,8571,8571,1179953,65536,,1179953,False,238.022,128.0,1.86,True,272.63,272.63,2199023255552,0.9373,135,8,134.218,5.2
8192,3,1,kv_stat_n3_lmc1,524288,280854528,8571,8571,9561544,1048576,,9561544,False,29.373,128.0,0.229,True,272.63,272.63,2199023255552,0.1157,135,128,134.218,5.2
8192,3,16,kv_stat_n3_lmc16,524288,280854528,8571,8571,1698184,65536,67835,1700483,True,165.162,128.0,1.29,True,272.63,272.63,2199023255552,0.6512,135,8,134.218,5.2
