arch,T,merge_n,lmc,eff_cols,n_subarrays,array_pes,packet_stagger,upper_pe_cycles,eff_stagger,mac_latency,upper_pe_chain,stagger_cost,first_latency,total_cycles,ss_lower_mac,lower_mac_analytic,lower_mac_ss_validated,dram_mb,flash_total,flash_eq_area
kv_elem_n0_lmc1,128,0,1,128,1,8192,128,7,128,128,896,16256,1024,17280,16891,16384,True,4.26,68568,34284.0
kv_elem_n0_lmc16,128,0,16,128,1,8192,8,7,8,128,896,1016,1024,2040,1531,1024,True,4.26,68568,34284.0
kv_elem_n3_lmc1,128,3,1,16,8,8192,128,7,128,128,112,16256,240,16496,16667,16384,True,4.26,68568,34284.0
kv_elem_n3_lmc16,128,3,16,16,8,8192,8,7,8,128,112,1016,240,1256,1307,1024,True,4.26,68568,34284.0
kv_elem_n0_lmc1,512,0,1,512,1,32768,128,7,128,128,3584,65408,3712,69120,66811,65536,True,17.04,1097088,137136.0
kv_elem_n0_lmc16,512,0,16,512,1,32768,8,7,8,128,3584,4088,3712,7800,5371,4096,True,17.04,1097088,137136.0
kv_elem_n3_lmc1,512,3,1,64,8,32768,128,7,128,128,448,65408,576,65984,65915,65536,True,17.04,1097088,137136.0
kv_elem_n3_lmc16,512,3,16,64,8,32768,8,7,8,128,448,4088,576,4664,4475,4096,True,17.04,1097088,137136.0
kv_elem_n0_lmc1,1024,0,1,1024,1,65536,128,7,128,128,7168,130944,7296,138240,,131072,False,34.08,4388352,274272.0
kv_elem_n0_lmc16,1024,0,16,1024,1,65536,8,7,8,128,7168,8184,7296,15480,10491,8192,True,34.08,4388352,274272.0
kv_elem_n3_lmc1,1024,3,1,128,8,65536,128,7,128,128,896,130944,1024,131968,131579,131072,True,34.08,4388352,274272.0
kv_elem_n3_lmc16,1024,3,16,128,8,65536,8,7,8,128,896,8184,1024,9208,8699,8192,True,34.08,4388352,274272.0
kv_elem_n0_lmc1,2048,0,1,2048,1,131072,128,7,128,128,14336,262016,14464,276480,,262144,False,68.16,17553408,548544.0
kv_elem_n0_lmc16,2048,0,16,2048,1,131072,8,7,8,128,14336,16376,14464,30840,20731,16384,True,68.16,17553408,548544.0
kv_elem_n3_lmc1,2048,3,1,256,8,131072,128,7,128,128,1792,262016,1920,263936,,262144,False,68.16,17553408,548544.0
kv_elem_n3_lmc16,2048,3,16,256,8,131072,8,7,8,128,1792,16376,1920,18296,17147,16384,True,68.16,17553408,548544.0
kv_elem_n0_lmc1,4096,0,1,4096,1,262144,128,7,128,128,28672,524160,28800,552960,,524288,False,136.31,70213632,1097088.0
kv_elem_n0_lmc16,4096,0,16,4096,1,262144,8,7,8,128,28672,32760,28800,61560,,32768,False,136.31,70213632,1097088.0
kv_elem_n3_lmc1,4096,3,1,512,8,262144,128,7,128,128,3584,524160,3712,527872,,524288,False,136.31,70213632,1097088.0
kv_elem_n3_lmc16,4096,3,16,512,8,262144,8,7,8,128,3584,32760,3712,36472,34043,32768,True,136.31,70213632,1097088.0
kv_elem_n0_lmc1,8192,0,1,8192,1,524288,128,7,128,128,57344,1048448,57472,1105920,,1048576,False,272.63,280854528,2194176.0
kv_elem_n0_lmc16,8192,0,16,8192,1,524288,8,7,8,128,57344,65528,57472,123000,,65536,False,272.63,280854528,2194176.0
kv_elem_n3_lmc1,8192,3,1,1024,8,524288,128,7,128,128,7168,1048448,7296,1055744,,1048576,False,272.63,280854528,2194176.0
kv_elem_n3_lmc16,8192,3,16,1024,8,524288,8,7,8,128,7168,65528,7296,72824,67835,65536,True,272.63,280854528,2194176.0
