T,merge_n,lmc,mode,Q_T,sub_rows,eff_cols,GEMM_M,GEMM_N,analytical_mac,ss_mac_cycles,delta_pct,drain_frac,mapping_eff_pct,pipeline_cycles,baseline_cycles,mac_frac_analytic,mac_frac_ss,corrected_pipeline
128,0,1,decode,1,64,128,64,128,128,635,396.1,0.798,10000.0,25785,512,0.005,0.025,26292
128,0,1,prefill,128,64,128,8192,128,16384,16891,3.1,0.03,10000.0,42041,65536,0.39,0.402,42548
128,0,16,prefill,128,64,128,512,128,1024,1531,49.5,0.331,10000.0,26801,65536,0.038,0.057,27308
128,3,1,decode,1,64,16,64,16,128,411,221.1,0.689,10000.0,85320,512,0.002,0.005,85603
128,3,1,prefill,128,64,16,8192,16,16384,16667,1.7,0.017,10000.0,215368,65536,0.076,0.077,215651
128,3,16,prefill,128,64,16,512,16,1024,1307,27.6,0.217,10000.0,93448,65536,0.011,0.014,93731
512,0,1,decode,1,64,512,64,512,128,1403,996.1,0.909,10000.0,77625,2048,0.002,0.018,78900
512,0,1,prefill,512,64,512,32768,512,65536,66811,1.9,0.019,10000.0,143033,1048576,0.458,0.467,144308
512,0,16,prefill,512,64,512,2048,512,4096,5371,31.1,0.237,10000.0,81713,1048576,0.05,0.066,82988
512,3,1,decode,1,64,64,64,64,128,507,296.1,0.748,10000.0,137160,2048,0.001,0.004,137539
512,3,1,prefill,512,64,64,32768,64,65536,65915,0.6,0.006,10000.0,660424,1048576,0.099,0.1,660803
512,3,16,prefill,512,64,64,2048,64,4096,4475,9.3,0.085,10000.0,169864,1048576,0.024,0.026,170243
1024,0,1,decode,1,64,1024,64,1024,128,2427,1796.1,0.947,10000.0,146745,4096,0.001,0.017,149044
1024,0,16,prefill,1024,64,1024,4096,1024,8192,10491,28.1,0.219,10000.0,154929,4194304,0.053,0.068,157228
1024,3,1,decode,1,64,128,64,128,128,635,396.1,0.798,10000.0,206280,4096,0.001,0.003,206787
1024,3,1,prefill,1024,64,128,65536,128,131072,131579,0.4,0.004,10000.0,1253832,4194304,0.105,0.105,1254339
1024,3,16,prefill,1024,64,128,4096,128,8192,8699,6.2,0.058,10000.0,271752,4194304,0.03,0.032,272259
2048,0,1,decode,1,64,2048,64,2048,128,4475,3396.1,0.971,10000.0,284985,8192,0.0,0.016,289332
2048,0,16,prefill,2048,64,2048,8192,2048,16384,20731,26.5,0.21,10000.0,301361,16777216,0.054,0.069,305708
2048,3,1,decode,1,64,256,64,256,128,891,596.1,0.856,10000.0,344520,8192,0.0,0.003,345283
2048,3,1,prefill,2048,64,256,131072,256,262144,262907,0.3,0.003,10000.0,2440648,16777216,0.107,0.108,2441411
2048,3,16,prefill,2048,64,256,8192,256,16384,17147,4.7,0.044,10000.0,475528,16777216,0.034,0.036,476291
4096,0,1,decode,1,64,4096,64,4096,128,8571,6596.1,0.985,10000.0,561465,16384,0.0,0.015,569908
4096,3,1,decode,1,64,512,64,512,128,1403,996.1,0.909,10000.0,621000,16384,0.0,0.002,622275
4096,3,16,prefill,4096,64,512,16384,512,32768,34043,3.9,0.037,10000.0,883080,67108864,0.037,0.039,884355
8192,0,1,decode,1,64,8192,64,8192,128,16763,12996.1,0.992,10000.0,1114425,32768,0.0,0.015,1131060
8192,3,1,decode,1,64,1024,64,1024,128,2427,1796.1,0.947,10000.0,1173960,32768,0.0,0.002,1176259
8192,3,16,prefill,8192,64,1024,32768,1024,65536,67835,3.5,0.034,10000.0,1698184,268435456,0.039,0.04,1700483
